=== WEIGHTS ONLY ===
Total weights: 288,122,268
474.weight: 165,960/166,448 zeros (99.71%)
476.weight: 165,964/166,448 zeros (99.71%)
478.weight: 164,368/164,832 zeros (99.72%)
480.weight: 162,744/163,200 zeros (99.72%)
482.weight: 140,370/140,800 zeros (99.69%)
484.weight: 100,994/101,376 zeros (99.62%)
486.weight: 82,464/82,944 zeros (99.42%)
488.weight: 73,440/73,728 zeros (99.61%)
490.weight: 81,283/81,664 zeros (99.53%)
492.weight: 91,553/91,872 zeros (99.65%)
494.weight: 91,206/91,584 zeros (99.59%)
496.weight: 91,266/91,584 zeros (99.65%)
498.weight: 90,636/91,008 zeros (99.59%)
500.weight: 90,692/91,008 zeros (99.65%)
502.weight: 89,496/89,856 zeros (99.60%)
504.weight: 89,544/89,856 zeros (99.65%)
506.weight: 87,216/87,552 zeros (99.62%)
508.weight: 87,248/87,552 zeros (99.65%)
510.weight: 73,410/73,728 zeros (99.57%)
512.weight: 73,248/73,728 zeros (99.35%)
514.weight: 73,440/73,728 zeros (99.61%)
516.weight: 81,283/81,664 zeros (99.53%)
518.weight: 91,553/91,872 zeros (99.65%)
520.weight: 91,206/91,584 zeros (99.59%)
522.weight: 91,266/91,584 zeros (99.65%)
524.weight: 90,636/91,008 zeros (99.59%)
526.weight: 90,692/91,008 zeros (99.65%)
528.weight: 89,496/89,856 zeros (99.60%)
530.weight: 89,544/89,856 zeros (99.65%)
532.weight: 87,216/87,552 zeros (99.62%)
534.weight: 87,248/87,552 zeros (99.65%)
536.weight: 73,410/73,728 zeros (99.57%)
538.weight: 85,552/86,016 zeros (99.46%)
540.weight: 99,120/99,456 zeros (99.66%)
542.weight: 100,204/100,640 zeros (99.57%)
544.weight: 112,412/112,880 zeros (99.59%)
546.weight: 124,031/124,500 zeros (99.62%)
548.weight: 149,125/149,625 zeros (99.67%)
550.weight: 163,089/163,590 zeros (99.69%)
552.weight: 164,320/164,820 zeros (99.70%)
554.weight: 165,126/165,624 zeros (99.70%)
556.weight: 165,952/166,448 zeros (99.70%)
558.weight: 165,960/166,448 zeros (99.71%)
560.weight: 165,964/166,448 zeros (99.71%)
562.weight: 164,368/164,832 zeros (99.72%)
564.weight: 162,744/163,200 zeros (99.72%)
566.weight: 140,370/140,800 zeros (99.69%)
568.weight: 100,994/101,376 zeros (99.62%)
570.weight: 82,464/82,944 zeros (99.42%)
572.weight: 73,440/73,728 zeros (99.61%)
574.weight: 81,283/81,664 zeros (99.53%)
576.weight: 91,553/91,872 zeros (99.65%)
578.weight: 91,206/91,584 zeros (99.59%)
580.weight: 91,266/91,584 zeros (99.65%)
582.weight: 90,636/91,008 zeros (99.59%)
584.weight: 90,692/91,008 zeros (99.65%)
586.weight: 89,496/89,856 zeros (99.60%)
588.weight: 89,544/89,856 zeros (99.65%)
590.weight: 87,216/87,552 zeros (99.62%)
592.weight: 87,248/87,552 zeros (99.65%)
594.weight: 73,410/73,728 zeros (99.57%)
596.weight: 73,248/73,728 zeros (99.35%)
598.weight: 73,440/73,728 zeros (99.61%)
600.weight: 81,283/81,664 zeros (99.53%)
602.weight: 91,553/91,872 zeros (99.65%)
604.weight: 91,206/91,584 zeros (99.59%)
606.weight: 91,266/91,584 zeros (99.65%)
608.weight: 90,636/91,008 zeros (99.59%)
610.weight: 90,692/91,008 zeros (99.65%)
612.weight: 89,496/89,856 zeros (99.60%)
614.weight: 89,544/89,856 zeros (99.65%)
616.weight: 87,216/87,552 zeros (99.62%)
618.weight: 87,248/87,552 zeros (99.65%)
620.weight: 73,410/73,728 zeros (99.57%)
622.weight: 85,552/86,016 zeros (99.46%)
624.weight: 99,120/99,456 zeros (99.66%)
626.weight: 100,204/100,640 zeros (99.57%)
628.weight: 112,412/112,880 zeros (99.59%)
630.weight: 124,031/124,500 zeros (99.62%)
632.weight: 149,125/149,625 zeros (99.67%)
634.weight: 163,089/163,590 zeros (99.69%)
636.weight: 164,320/164,820 zeros (99.70%)
638.weight: 165,126/165,624 zeros (99.70%)
640.weight: 165,952/166,448 zeros (99.70%)
642.weight: 165,960/166,448 zeros (99.71%)
644.weight: 165,964/166,448 zeros (99.71%)
646.weight: 164,368/164,832 zeros (99.72%)
648.weight: 162,744/163,200 zeros (99.72%)
650.weight: 140,370/140,800 zeros (99.69%)
652.weight: 100,994/101,376 zeros (99.62%)
654.weight: 82,464/82,944 zeros (99.42%)
656.weight: 73,440/73,728 zeros (99.61%)
658.weight: 81,283/81,664 zeros (99.53%)
660.weight: 91,553/91,872 zeros (99.65%)
662.weight: 91,206/91,584 zeros (99.59%)
664.weight: 91,266/91,584 zeros (99.65%)
666.weight: 90,636/91,008 zeros (99.59%)
668.weight: 90,692/91,008 zeros (99.65%)
670.weight: 89,496/89,856 zeros (99.60%)
672.weight: 89,544/89,856 zeros (99.65%)
674.weight: 87,216/87,552 zeros (99.62%)
676.weight: 87,248/87,552 zeros (99.65%)
678.weight: 73,410/73,728 zeros (99.57%)
680.weight: 73,248/73,728 zeros (99.35%)
682.weight: 73,440/73,728 zeros (99.61%)
684.weight: 81,283/81,664 zeros (99.53%)
686.weight: 91,553/91,872 zeros (99.65%)
688.weight: 91,206/91,584 zeros (99.59%)
690.weight: 91,266/91,584 zeros (99.65%)
692.weight: 90,636/91,008 zeros (99.59%)
694.weight: 90,692/91,008 zeros (99.65%)
696.weight: 89,496/89,856 zeros (99.60%)
698.weight: 89,544/89,856 zeros (99.65%)
700.weight: 87,216/87,552 zeros (99.62%)
702.weight: 87,248/87,552 zeros (99.65%)
704.weight: 73,410/73,728 zeros (99.57%)
706.weight: 85,552/86,016 zeros (99.46%)
708.weight: 99,120/99,456 zeros (99.66%)
710.weight: 100,204/100,640 zeros (99.57%)
712.weight: 112,412/112,880 zeros (99.59%)
714.weight: 124,031/124,500 zeros (99.62%)
716.weight: 149,125/149,625 zeros (99.67%)
718.weight: 163,089/163,590 zeros (99.69%)
720.weight: 164,320/164,820 zeros (99.70%)
722.weight: 165,126/165,624 zeros (99.70%)
724.weight: 165,952/166,448 zeros (99.70%)
726.weight: 165,960/166,448 zeros (99.71%)
728.weight: 165,964/166,448 zeros (99.71%)
730.weight: 164,368/164,832 zeros (99.72%)
732.weight: 162,744/163,200 zeros (99.72%)
734.weight: 140,370/140,800 zeros (99.69%)
736.weight: 100,994/101,376 zeros (99.62%)
738.weight: 82,464/82,944 zeros (99.42%)
740.weight: 73,440/73,728 zeros (99.61%)
742.weight: 81,283/81,664 zeros (99.53%)
744.weight: 91,553/91,872 zeros (99.65%)
746.weight: 91,206/91,584 zeros (99.59%)
748.weight: 91,266/91,584 zeros (99.65%)
750.weight: 90,636/91,008 zeros (99.59%)
752.weight: 90,692/91,008 zeros (99.65%)
754.weight: 89,496/89,856 zeros (99.60%)
756.weight: 89,544/89,856 zeros (99.65%)
758.weight: 87,216/87,552 zeros (99.62%)
760.weight: 87,248/87,552 zeros (99.65%)
762.weight: 73,410/73,728 zeros (99.57%)
764.weight: 73,248/73,728 zeros (99.35%)
766.weight: 73,440/73,728 zeros (99.61%)
768.weight: 81,283/81,664 zeros (99.53%)
770.weight: 91,553/91,872 zeros (99.65%)
772.weight: 91,206/91,584 zeros (99.59%)
774.weight: 91,266/91,584 zeros (99.65%)
776.weight: 90,636/91,008 zeros (99.59%)
778.weight: 90,692/91,008 zeros (99.65%)
780.weight: 89,496/89,856 zeros (99.60%)
782.weight: 89,544/89,856 zeros (99.65%)
784.weight: 87,216/87,552 zeros (99.62%)
786.weight: 87,248/87,552 zeros (99.65%)
788.weight: 73,410/73,728 zeros (99.57%)
790.weight: 85,552/86,016 zeros (99.46%)
792.weight: 99,120/99,456 zeros (99.66%)
794.weight: 100,204/100,640 zeros (99.57%)
796.weight: 112,412/112,880 zeros (99.59%)
798.weight: 124,031/124,500 zeros (99.62%)
800.weight: 149,125/149,625 zeros (99.67%)
802.weight: 163,089/163,590 zeros (99.69%)
804.weight: 164,320/164,820 zeros (99.70%)
806.weight: 165,126/165,624 zeros (99.70%)
808.weight: 165,952/166,448 zeros (99.70%)
810.weight: 165,960/166,448 zeros (99.71%)
812.weight: 165,964/166,448 zeros (99.71%)
814.weight: 164,368/164,832 zeros (99.72%)
816.weight: 162,744/163,200 zeros (99.72%)
818.weight: 140,370/140,800 zeros (99.69%)
820.weight: 100,994/101,376 zeros (99.62%)
822.weight: 82,464/82,944 zeros (99.42%)
824.weight: 73,440/73,728 zeros (99.61%)
826.weight: 81,283/81,664 zeros (99.53%)
828.weight: 91,553/91,872 zeros (99.65%)
830.weight: 91,206/91,584 zeros (99.59%)
832.weight: 91,266/91,584 zeros (99.65%)
834.weight: 90,636/91,008 zeros (99.59%)
836.weight: 90,692/91,008 zeros (99.65%)
838.weight: 89,496/89,856 zeros (99.60%)
840.weight: 89,544/89,856 zeros (99.65%)
842.weight: 87,216/87,552 zeros (99.62%)
844.weight: 87,248/87,552 zeros (99.65%)
846.weight: 73,410/73,728 zeros (99.57%)
848.weight: 73,248/73,728 zeros (99.35%)
850.weight: 73,440/73,728 zeros (99.61%)
852.weight: 81,283/81,664 zeros (99.53%)
854.weight: 91,553/91,872 zeros (99.65%)
856.weight: 91,206/91,584 zeros (99.59%)
858.weight: 91,266/91,584 zeros (99.65%)
860.weight: 90,636/91,008 zeros (99.59%)
862.weight: 90,692/91,008 zeros (99.65%)
864.weight: 89,496/89,856 zeros (99.60%)
866.weight: 89,544/89,856 zeros (99.65%)
868.weight: 87,216/87,552 zeros (99.62%)
870.weight: 87,248/87,552 zeros (99.65%)
872.weight: 73,410/73,728 zeros (99.57%)
874.weight: 85,552/86,016 zeros (99.46%)
876.weight: 99,120/99,456 zeros (99.66%)
878.weight: 100,204/100,640 zeros (99.57%)
880.weight: 112,412/112,880 zeros (99.59%)
882.weight: 124,031/124,500 zeros (99.62%)
884.weight: 149,125/149,625 zeros (99.67%)
886.weight: 163,089/163,590 zeros (99.69%)
888.weight: 164,320/164,820 zeros (99.70%)
890.weight: 165,126/165,624 zeros (99.70%)
892.weight: 165,952/166,448 zeros (99.70%)
894.weight: 165,960/166,448 zeros (99.71%)
896.weight: 165,964/166,448 zeros (99.71%)
898.weight: 164,368/164,832 zeros (99.72%)
900.weight: 162,744/163,200 zeros (99.72%)
902.weight: 140,370/140,800 zeros (99.69%)
904.weight: 100,994/101,376 zeros (99.62%)
906.weight: 82,464/82,944 zeros (99.42%)
908.weight: 73,440/73,728 zeros (99.61%)
910.weight: 81,283/81,664 zeros (99.53%)
912.weight: 91,553/91,872 zeros (99.65%)
914.weight: 91,206/91,584 zeros (99.59%)
916.weight: 91,266/91,584 zeros (99.65%)
918.weight: 90,636/91,008 zeros (99.59%)
920.weight: 90,692/91,008 zeros (99.65%)
922.weight: 89,496/89,856 zeros (99.60%)
924.weight: 89,544/89,856 zeros (99.65%)
926.weight: 87,216/87,552 zeros (99.62%)
928.weight: 87,248/87,552 zeros (99.65%)
930.weight: 73,410/73,728 zeros (99.57%)
932.weight: 73,248/73,728 zeros (99.35%)
934.weight: 73,440/73,728 zeros (99.61%)
936.weight: 81,283/81,664 zeros (99.53%)
938.weight: 91,553/91,872 zeros (99.65%)
940.weight: 91,206/91,584 zeros (99.59%)
942.weight: 91,266/91,584 zeros (99.65%)
944.weight: 90,636/91,008 zeros (99.59%)
946.weight: 90,692/91,008 zeros (99.65%)
948.weight: 89,496/89,856 zeros (99.60%)
950.weight: 89,544/89,856 zeros (99.65%)
952.weight: 87,216/87,552 zeros (99.62%)
954.weight: 87,248/87,552 zeros (99.65%)
956.weight: 73,410/73,728 zeros (99.57%)
958.weight: 85,552/86,016 zeros (99.46%)
960.weight: 99,120/99,456 zeros (99.66%)
962.weight: 100,204/100,640 zeros (99.57%)
964.weight: 112,412/112,880 zeros (99.59%)
966.weight: 124,031/124,500 zeros (99.62%)
968.weight: 149,125/149,625 zeros (99.67%)
970.weight: 163,089/163,590 zeros (99.69%)
972.weight: 164,320/164,820 zeros (99.70%)
974.weight: 165,126/165,624 zeros (99.70%)
976.weight: 165,952/166,448 zeros (99.70%)
978.weight: 165,960/166,448 zeros (99.71%)
980.weight: 165,964/166,448 zeros (99.71%)
982.weight: 164,368/164,832 zeros (99.72%)
984.weight: 162,744/163,200 zeros (99.72%)
986.weight: 140,370/140,800 zeros (99.69%)
988.weight: 100,994/101,376 zeros (99.62%)
990.weight: 82,464/82,944 zeros (99.42%)
992.weight: 73,440/73,728 zeros (99.61%)
994.weight: 81,283/81,664 zeros (99.53%)
996.weight: 91,553/91,872 zeros (99.65%)
998.weight: 91,206/91,584 zeros (99.59%)
1000.weight: 91,266/91,584 zeros (99.65%)
1002.weight: 90,636/91,008 zeros (99.59%)
1004.weight: 90,692/91,008 zeros (99.65%)
1006.weight: 89,496/89,856 zeros (99.60%)
1008.weight: 89,544/89,856 zeros (99.65%)
1010.weight: 87,216/87,552 zeros (99.62%)
1012.weight: 87,248/87,552 zeros (99.65%)
1014.weight: 73,410/73,728 zeros (99.57%)
1016.weight: 73,248/73,728 zeros (99.35%)
1018.weight: 73,440/73,728 zeros (99.61%)
1020.weight: 81,283/81,664 zeros (99.53%)
1022.weight: 91,553/91,872 zeros (99.65%)
1024.weight: 91,206/91,584 zeros (99.59%)
1026.weight: 91,266/91,584 zeros (99.65%)
1028.weight: 90,636/91,008 zeros (99.59%)
1030.weight: 90,692/91,008 zeros (99.65%)
1032.weight: 89,496/89,856 zeros (99.60%)
1034.weight: 89,544/89,856 zeros (99.65%)
1036.weight: 87,216/87,552 zeros (99.62%)
1038.weight: 87,248/87,552 zeros (99.65%)
1040.weight: 73,410/73,728 zeros (99.57%)
1042.weight: 85,552/86,016 zeros (99.46%)
1044.weight: 99,120/99,456 zeros (99.66%)
1046.weight: 100,204/100,640 zeros (99.57%)
1048.weight: 112,412/112,880 zeros (99.59%)
1050.weight: 124,031/124,500 zeros (99.62%)
1052.weight: 149,125/149,625 zeros (99.67%)
1054.weight: 163,089/163,590 zeros (99.69%)
1056.weight: 164,320/164,820 zeros (99.70%)
1058.weight: 165,126/165,624 zeros (99.70%)
1060.weight: 165,952/166,448 zeros (99.70%)
1062.weight: 165,960/166,448 zeros (99.71%)
1064.weight: 165,964/166,448 zeros (99.71%)
1066.weight: 164,368/164,832 zeros (99.72%)
1068.weight: 162,744/163,200 zeros (99.72%)
1070.weight: 140,370/140,800 zeros (99.69%)
1072.weight: 100,994/101,376 zeros (99.62%)
1074.weight: 82,464/82,944 zeros (99.42%)
1076.weight: 73,440/73,728 zeros (99.61%)
1078.weight: 81,283/81,664 zeros (99.53%)
1080.weight: 91,553/91,872 zeros (99.65%)
1082.weight: 91,206/91,584 zeros (99.59%)
1084.weight: 91,266/91,584 zeros (99.65%)
1086.weight: 90,636/91,008 zeros (99.59%)
1088.weight: 90,692/91,008 zeros (99.65%)
1090.weight: 89,496/89,856 zeros (99.60%)
1092.weight: 89,544/89,856 zeros (99.65%)
1094.weight: 87,216/87,552 zeros (99.62%)
1096.weight: 87,248/87,552 zeros (99.65%)
1098.weight: 73,410/73,728 zeros (99.57%)
1100.weight: 73,248/73,728 zeros (99.35%)
1102.weight: 73,440/73,728 zeros (99.61%)
1104.weight: 81,283/81,664 zeros (99.53%)
1106.weight: 91,553/91,872 zeros (99.65%)
1108.weight: 91,206/91,584 zeros (99.59%)
1110.weight: 91,266/91,584 zeros (99.65%)
1112.weight: 90,636/91,008 zeros (99.59%)
1114.weight: 90,692/91,008 zeros (99.65%)
1116.weight: 89,496/89,856 zeros (99.60%)
1118.weight: 89,544/89,856 zeros (99.65%)
1120.weight: 87,216/87,552 zeros (99.62%)
1122.weight: 87,248/87,552 zeros (99.65%)
1124.weight: 73,410/73,728 zeros (99.57%)
1126.weight: 85,552/86,016 zeros (99.46%)
1128.weight: 99,120/99,456 zeros (99.66%)
1130.weight: 100,204/100,640 zeros (99.57%)
1132.weight: 112,412/112,880 zeros (99.59%)
1134.weight: 124,031/124,500 zeros (99.62%)
1136.weight: 149,125/149,625 zeros (99.67%)
1138.weight: 163,089/163,590 zeros (99.69%)
1140.weight: 164,320/164,820 zeros (99.70%)
1142.weight: 165,126/165,624 zeros (99.70%)
